image,model,gold_pos,gold,hypothese,art,kontext,zeichen_ops,n_modelle,verschiebung,typ_vorschlag,regel,typ,bemerkung
anzeige03,glm-ocr_bf16,49,"Kuhlmann-Charlottenburg,","Kuhlmann-Charloffenburg,",Substitution,"Paris. Dr. Ernst [[Kuhlmann-Charlottenburg,]] Verbandstoffabrik. Verkauf zu",t->f t->f,1,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,50,Verbandstoffabrik.,Verbandstoffabrif.,Substitution,"Dr. Ernst Kuhlmann-Charlottenburg, [[Verbandstoffabrik.]] Verkauf zu Originalfabrikpreisen.",k->f,1,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,51,Verkauf,Verlauf,Substitution,"Ernst Kuhlmann-Charlottenburg, Verbandstoffabrik. [[Verkauf]] zu Originalfabrikpreisen. Man",k->l,1,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,53,Originalfabrikpreisen.,Originalfabrifpreifen.,Substitution,Verbandstoffabrik. Verkauf zu [[Originalfabrikpreisen.]] Man verlange Preislisten,k->f s->f,1,,A,nur-fraktur,A,
anzeige03,glm-ocr_bf16,56,Preislisten,Preisliften,Substitution,Originalfabrikpreisen. Man verlange [[Preislisten]] und Offerten.,s->f,2,,A,nur-fraktur,A,
anzeige03,google_gemini-3-5-flash,32,Amol-Werke-Hamburg.,Amol-Werke - Hamburg.,Substitution,"Randstaaten der Fabriken: [[Amol-Werke-Hamburg.]] Kluge & Pöritzsch,",∅->  ∅-> ,1,,B,nur-trennung,,
anzeige03,google_gemini-3-5-flash,45,Moskau— Paris.,Moskau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,", ->∅,7,,B,nur-trennung,B,
anzeige03,maternion_lightonocr-2_1b,21,Generalvertretung,Generalverretung,Substitution,kosmetische und Toilette-Artikel. [[Generalvertretung]] und Niederlage für,t->∅,1,,,,A,
anzeige03,maternion_lightonocr-2_1b,40,Oele.,Dele.,Substitution,Essenzen und ätherische [[Oele.]] Brocard & Co.,O->D,5,,A,nur-fraktur,A,
anzeige03,maternion_lightonocr-2_1b,45,Moskau— Paris.,Moskau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,", ->∅,7,,B,nur-trennung,B,
anzeige03,minicpm-v4.5_8b,7,"Kowno,","Köwno,",Substitution,"Finn En gros [[Kowno,]] Gr. Wilnaerstr. 13.",o->ö,1,,D,nur-diakritika,A,deutscher Umlaut hinzugefuegt -> A statt Vorschlag D
anzeige03,minicpm-v4.5_8b,15,"Gummiwaren,","Gummimwaren,",Substitution,"338. Spezialhaus für [[Gummiwaren,]] Verbandstoffe, Apotheker-Bedarfsartikel, kosmetische",∅->m,1,,,,A,
anzeige03,minicpm-v4.5_8b,17,"Apotheker-Bedarfsartikel,","Apotheter-Bedarfsartifel,",Substitution,"für Gummiwaren, Verbandstoffe, [[Apotheker-Bedarfsartikel,]] kosmetische und Toilette-Artikel.",k->t k->f,1,,A,nur-fraktur,A,
anzeige03,minicpm-v4.5_8b,20,Toilette-Artikel.,Toilette-Artifel.,Substitution,"Apotheker-Bedarfsartikel, kosmetische und [[Toilette-Artikel.]] Generalvertretung und Niederlage",k->f,2,,A,nur-fraktur,A,
anzeige03,minicpm-v4.5_8b,21,Generalvertretung,Generalverfretung,Substitution,kosmetische und Toilette-Artikel. [[Generalvertretung]] und Niederlage für,t->f,1,,A,nur-fraktur,A,
anzeige03,minicpm-v4.5_8b,28,andern,andernd,Substitution,Litauen und die [[andern]] Randstaaten der Fabriken:,∅->d,1,,,,A,
anzeige03,minicpm-v4.5_8b,32,Amol-Werke-Hamburg.,Amol-Werte-Samburg.,Substitution,"Randstaaten der Fabriken: [[Amol-Werke-Hamburg.]] Kluge & Pöritzsch,",k->t H->S,1,,,,A,
anzeige03,minicpm-v4.5_8b,35,"Pöritzsch,","Pörich,",Substitution,"Amol-Werke-Hamburg. Kluge & [[Pöritzsch,]] Leipzig, Essenzen und",t->∅ z->∅ s->∅,1,,,,A,
anzeige03,minicpm-v4.5_8b,37,Essenzen,Effsenzen,Substitution,"& Pöritzsch, Leipzig, [[Essenzen]] und ätherische Oele.",∅->f s->f,1,,,,A,
anzeige03,minicpm-v4.5_8b,40,Oele.,Dele.,Substitution,Essenzen und ätherische [[Oele.]] Brocard & Co.,O->D,5,,A,nur-fraktur,A,
anzeige03,minicpm-v4.5_8b,44,"Parfümeriefabrik,","Parfümeriefabrit,",Substitution,"Brocard & Co. [[Parfümeriefabrik,]] Moskau— Paris. Dr.",k->t,1,,A,nur-fraktur,A,
anzeige03,minicpm-v4.5_8b,45,Moskau— Paris.,Mosfau-Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,",k->f —->-  ->∅,1,,,,A,zusaetzlich Gedankenstrich und Spatium (B)
anzeige03,minicpm-v4.5_8b,49,"Kuhlmann-Charlottenburg,","Kuhmann-Charlottenburg,",Substitution,"Paris. Dr. Ernst [[Kuhlmann-Charlottenburg,]] Verbandstoffabrik. Verkauf zu",l->∅,1,,,,A,
anzeige03,minicpm-v4.5_8b,50,Verbandstoffabrik.,Berbandstofffabrit.,Substitution,"Dr. Ernst Kuhlmann-Charlottenburg, [[Verbandstoffabrik.]] Verkauf zu Originalfabrikpreisen.",V->B ∅->f k->t,1,,,,A,enthaelt zusaetzlich die Neuschreibung mit drei f (C)
anzeige03,minicpm-v4.5_8b,53,Originalfabrikpreisen.,Originalfabritpreisen.,Substitution,Verbandstoffabrik. Verkauf zu [[Originalfabrikpreisen.]] Man verlange Preislisten,k->t,1,,A,nur-fraktur,A,
anzeige03,minicpm-v4.5_8b,56,Preislisten,Preisliften,Substitution,Originalfabrikpreisen. Man verlange [[Preislisten]] und Offerten.,s->f,2,,A,nur-fraktur,A,
anzeige03,openai_gpt-5-6-sol,35,"Pöritzsch,","Pörisch,",Substitution,"Amol-Werke-Hamburg. Kluge & [[Pöritzsch,]] Leipzig, Essenzen und",t->∅ z->∅,1,,,,,
anzeige03,openai_gpt-5-6-sol,45,Moskau— Paris.,Moskau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,", ->∅,7,,B,nur-trennung,B,
anzeige03,qwen3-vl_4b-instruct,9,Wilnaerstr.,Wilnaertr.,Substitution,"gros Kowno, Gr. [[Wilnaerstr.]] 13. Tel. 338.",s->∅,1,,,,A,
anzeige03,qwen3-vl_4b-instruct,35,"Pöritzsch,","Pörkisch,",Substitution,"Amol-Werke-Hamburg. Kluge & [[Pöritzsch,]] Leipzig, Essenzen und",∅->k t->∅ z->∅,2,,,,A,
anzeige03,qwen3-vl_4b-instruct,37,Essenzen,Offenzen,Substitution,"& Pöritzsch, Leipzig, [[Essenzen]] und ätherische Oele.",E->O s->f s->f,1,,,,A,
anzeige03,qwen3-vl_4b-instruct,40,Oele.,Dele.,Substitution,Essenzen und ätherische [[Oele.]] Brocard & Co.,O->D,5,,A,nur-fraktur,A,
anzeige03,qwen3-vl_4b-instruct,45,Moskau— Paris.,Mostau–Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,",k->t —->–  ->∅,1,,,,A,
anzeige03,qwen3-vl_4b-instruct,50,Verbandstoffabrik.,Verbandstofffabrik.,Substitution,"Dr. Ernst Kuhlmann-Charlottenburg, [[Verbandstoffabrik.]] Verkauf zu Originalfabrikpreisen.",∅->f,3,,,,C,
anzeige03,qwen3-vl_4b-instruct,55,verlange,verlangt,Substitution,zu Originalfabrikpreisen. Man [[verlange]] Preislisten und Offerten.,e->t,1,,,,C,strittig: A (e/t) denkbar; hier als Modernisierung des Konjunktivs gewertet
anzeige03,qwen3-vl_8b-instruct,28,andern,anderen,Substitution,Litauen und die [[andern]] Randstaaten der Fabriken:,∅->e,1,,,,C,strittig: A denkbar; hier als Modernisierung der elidierten Form gewertet
anzeige03,qwen3-vl_8b-instruct,35,"Pöritzsch,","Pörkisch,",Substitution,"Amol-Werke-Hamburg. Kluge & [[Pöritzsch,]] Leipzig, Essenzen und",∅->k t->∅ z->∅,2,,,,A,
anzeige03,qwen3-vl_8b-instruct,40,Oele.,Öle.,Substitution,Essenzen und ätherische [[Oele.]] Brocard & Co.,O->Ö e->∅,3,,,,C,
anzeige03,qwen3-vl_8b-instruct,45,Moskau— Paris.,Moskau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,", ->∅,7,,B,nur-trennung,B,
anzeige03,qwen3-vl_8b-instruct,50,Verbandstoffabrik.,Verbandstofffabrik.,Substitution,"Dr. Ernst Kuhlmann-Charlottenburg, [[Verbandstoffabrik.]] Verkauf zu Originalfabrikpreisen.",∅->f,3,,,,C,
anzeige03,qwen3.5_4b,35,"Pöritzsch,","Pörikisch,",Substitution,"Amol-Werke-Hamburg. Kluge & [[Pöritzsch,]] Leipzig, Essenzen und",t->k z->i,1,,,,A,
anzeige03,qwen3.5_4b,40,Oele.,Öle.,Substitution,Essenzen und ätherische [[Oele.]] Brocard & Co.,O->Ö e->∅,3,,,,C,
anzeige03,qwen3.5_4b,45,Moskau— Paris.,Moskau—Paris.,Substitution,"& Co. Parfümeriefabrik, [[Moskau— Paris.]] Dr. Ernst Kuhlmann-Charlottenburg,", ->∅,7,,B,nur-trennung,B,
anzeige04,anthropic_claude-opus-5,51,ge- hörigen,gehörigen,Substitution,"sowie alle dazu [[ge- hörigen]] Ausrüstungen. Automobile, Motorräder,",-->∅  ->∅,7,,B,nur-trennung,B,
anzeige04,anthropic_claude-opus-5,72,Zubehör- teile.,Zubehörteile.,Substitution,"Sägegatter, Kreissägen und [[Zubehör- teile.]] Feldbahnen und Geleise",-->∅  ->∅,6,,B,nur-trennung,B,
anzeige04,anthropic_claude-sonnet-5,51,ge- hörigen,gehörigen,Substitution,"sowie alle dazu [[ge- hörigen]] Ausrüstungen. Automobile, Motorräder,",-->∅  ->∅,7,,B,nur-trennung,B,
anzeige04,anthropic_claude-sonnet-5,72,Zubehör- teile.,Zubehörteile.,Substitution,"Sägegatter, Kreissägen und [[Zubehör- teile.]] Feldbahnen und Geleise",-->∅  ->∅,6,,B,nur-trennung,B,
anzeige04,deepseek-ocr_3b,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,,E,block-ausgelassen,E,
anzeige04,deepseek-ocr_3b,10,Kowno,Jovno,Substitution,Potsdamerstraße Nr. 141 [[Kowno]] Šiaulių g-vė. 14,K->J w->v,1,,,,A,
anzeige04,deepseek-ocr_3b,11,Šiaulių,Siauliu,Substitution,Nr. 141 Kowno [[Šiaulių]] g-vė. 14 Beste,Š->S ų->u,1,,D,nur-diakritika,D,
anzeige04,deepseek-ocr_3b,12,g-vė.,g-vé.,Substitution,141 Kowno Šiaulių [[g-vė.]] 14 Beste und,ė->é,2,,D,nur-diakritika,D,
anzeige04,deepseek-ocr_3b,22,Art,2rt,Substitution,Motore in jeder [[Art]] und Größe in,A->2,1,,,,A,
anzeige04,deepseek-ocr_3b,30,Installations-Materialien,Innfallations-Materialien,Substitution,"Friedensausführung, sowie sämtliche [[Installations-Materialien]] für Stark- und",s->n t->f,1,,,,A,
anzeige04,deepseek-ocr_3b,32,Stark-,Start-,Substitution,sämtliche Installations-Materialien für [[Stark-]] und Schwachstrom. Ferner,k->t,4,,A,nur-fraktur,A,
anzeige04,deepseek-ocr_3b,36,Treibriemen,Treiberinnen,Substitution,"und Schwachstrom. Ferner [[Treibriemen]] in jeder Ausführung,",∅->e e->n m->n,1,,,,E,
anzeige04,deepseek-ocr_3b,40,Seidengaze,Seidengase,Substitution,"in jeder Ausführung, [[Seidengaze]] für Mühlen. Spritzen",z->s,1,,,,A,
anzeige04,deepseek-ocr_3b,43,Spritzen,Sprügen,Substitution,Seidengaze für Mühlen. [[Spritzen]] und Schläuche für,i->ü t->g z->∅,2,,,,A,
anzeige04,deepseek-ocr_3b,51,ge- hörigen,gehörigen,Substitution,"sowie alle dazu [[ge- hörigen]] Ausrüstungen. Automobile, Motorräder,",-->∅  ->∅,7,,B,nur-trennung,B,
anzeige04,deepseek-ocr_3b,57,Mäntel,Mängel,Substitution,"Automobile, Motorräder, Fahrräder, [[Mäntel]] und Schläuche, Gummiabsätze",t->g,1,,,,E,strittig: A denkbar; 'Maengel' ist ein anderes Wort ohne graphische Naehe
anzeige04,deepseek-ocr_3b,60,Gummiabsätze,Gummibäfälle,Substitution,"Mäntel und Schläuche, [[Gummiabsätze]] billigst. Sämtliche landwirtschaftliche",a->b b->ä s->f t->l z->l,1,,,,A,
anzeige04,deepseek-ocr_3b,65,"Lokomobilen,","Cotomobilen,",Substitution,"Sämtliche landwirtschaftliche Maschinen, [[Lokomobilen,]] neu und gebraucht.",L->C k->t,1,,,,A,
anzeige04,deepseek-ocr_3b,70,Kreissägen,Kreislägen,Substitution,"und gebraucht. Sägegatter, [[Kreissägen]] und Zubehör- teile.",s->l,1,,,,A,
anzeige04,deepseek-ocr_3b,72,Zubehör- teile.,Zubehörteile.,Substitution,"Sägegatter, Kreissägen und [[Zubehör- teile.]] Feldbahnen und Geleise",-->∅  ->∅,6,,B,nur-trennung,B,
anzeige04,deepseek-ocr_3b,76,Geleise,Geleife,Substitution,teile. Feldbahnen und [[Geleise]] dazu. Für reelle,s->f,2,,A,nur-fraktur,A,
anzeige04,gemma4_e4b,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,anzeige04/gemma4_e4b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,gemma4_e4b,10,,E C E K A,Einfuegung,Potsdamerstraße Nr. 141 [[∅]] Kowno Šiaulių g-vė.,eingefuegt: E C E K A,2,anzeige04/gemma4_e4b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,gemma4_e4b,34,Schwachstrom.,Schwadstrom.,Substitution,für Stark- und [[Schwachstrom.]] Ferner Treibriemen in,c->d h->∅,1,,,,A,
anzeige04,gemma4_e4b,43,Spritzen,Spriken,Substitution,Seidengaze für Mühlen. [[Spritzen]] und Schläuche für,t->k z->∅,3,,,,A,
anzeige04,gemma4_e4b,60,Gummiabsätze,Gummibäske,Substitution,"Mäntel und Schläuche, [[Gummiabsätze]] billigst. Sämtliche landwirtschaftliche",a->∅ s->∅ t->s z->k,1,,,,A,
anzeige04,glm-ocr_bf16,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,anzeige04/glm-ocr_bf16#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,glm-ocr_bf16,7,Potsdamerstraße,Potsdamstraße,Substitution,Berlin W. 9 [[Potsdamerstraße]] Nr. 141 Kowno,e->∅ r->∅,1,,,,E,"strittig: A denkbar; hier E, weil eine ganze Silbe entfaellt und ein gelaeufiger Name entsteht"
anzeige04,glm-ocr_bf16,29,sämtliche,fämftliche,Substitution,"nur Friedensausführung, sowie [[sämtliche]] Installations-Materialien für Stark-",s->f ∅->f,1,,,,A,
anzeige04,glm-ocr_bf16,32,Stark-,Starf-,Substitution,sämtliche Installations-Materialien für [[Stark-]] und Schwachstrom. Ferner,k->f,1,,A,nur-fraktur,A,
anzeige04,glm-ocr_bf16,43,Spritzen,Spriken,Substitution,Seidengaze für Mühlen. [[Spritzen]] und Schläuche für,t->k z->∅,3,,,,A,
anzeige04,glm-ocr_bf16,51,ge- hörigen,gehörigen,Substitution,"sowie alle dazu [[ge- hörigen]] Ausrüstungen. Automobile, Motorräder,",-->∅  ->∅,7,,B,nur-trennung,B,
anzeige04,glm-ocr_bf16,60,Gummiabsätze,Gummiabfähe,Substitution,"Mäntel und Schläuche, [[Gummiabsätze]] billigst. Sämtliche landwirtschaftliche",s->f t->h z->∅,1,,,,A,
anzeige04,glm-ocr_bf16,61,billigst.,billigft.,Substitution,"und Schläuche, Gummiabsätze [[billigst.]] Sämtliche landwirtschaftliche Maschinen,",s->f,1,,A,nur-fraktur,A,
anzeige04,glm-ocr_bf16,62,Sämtliche,Sämftliche,Substitution,"Schläuche, Gummiabsätze billigst. [[Sämtliche]] landwirtschaftliche Maschinen, Lokomobilen,",∅->f,1,,,,A,
anzeige04,glm-ocr_bf16,65,"Lokomobilen,","Lotomobilen,",Substitution,"Sämtliche landwirtschaftliche Maschinen, [[Lokomobilen,]] neu und gebraucht.",k->t,2,,A,nur-fraktur,A,
anzeige04,glm-ocr_bf16,70,Kreissägen,Kreisfägen,Substitution,"und gebraucht. Sägegatter, [[Kreissägen]] und Zubehör- teile.",s->f,2,,A,nur-fraktur,A,
anzeige04,glm-ocr_bf16,72,Zubehör- teile.,Zubehör-teile.,Substitution,"Sägegatter, Kreissägen und [[Zubehör- teile.]] Feldbahnen und Geleise", ->∅,1,,B,nur-trennung,B,
anzeige04,glm-ocr_bf16,76,Geleise,Geleife,Substitution,teile. Feldbahnen und [[Geleise]] dazu. Für reelle,s->f,2,,A,nur-fraktur,A,
anzeige04,glm-ocr_bf16,87,,ECEKA,Einfuegung,größte Sorge getragen. [[∅]],eingefuegt: ECEKA,4,anzeige04/glm-ocr_bf16#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,google_gemini-3-5-flash,0,ECEKA,E C E K A,Substitution,[[ECEKA]] M. Otto Hesse,∅->  ∅->  ∅->  ∅-> ,1,,B,nur-trennung,,
anzeige04,google_gemini-3-5-flash,51,ge- hörigen,gehörigen,Substitution,"sowie alle dazu [[ge- hörigen]] Ausrüstungen. Automobile, Motorräder,",-->∅  ->∅,7,,B,nur-trennung,B,
anzeige04,google_gemini-3-5-flash,72,Zubehör- teile.,Zubehörteile.,Substitution,"Sägegatter, Kreissägen und [[Zubehör- teile.]] Feldbahnen und Geleise",-->∅  ->∅,6,,B,nur-trennung,B,
anzeige04,maternion_lightonocr-2_1b,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,anzeige04/maternion_lightonocr-2_1b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,maternion_lightonocr-2_1b,14,,E C E K A,Einfuegung,Šiaulių g-vė. 14 [[∅]] Beste und billigste,eingefuegt: E C E K A,2,anzeige04/maternion_lightonocr-2_1b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,maternion_lightonocr-2_1b,32,Stark-,Start-,Substitution,sämtliche Installations-Materialien für [[Stark-]] und Schwachstrom. Ferner,k->t,4,,A,nur-fraktur,A,
anzeige04,maternion_lightonocr-2_1b,43,Spritzen,Sprizen,Substitution,Seidengaze für Mühlen. [[Spritzen]] und Schläuche für,t->∅,1,,,,A,
anzeige04,maternion_lightonocr-2_1b,51,ge- hörigen,gehörigen,Substitution,"sowie alle dazu [[ge- hörigen]] Ausrüstungen. Automobile, Motorräder,",-->∅  ->∅,7,,B,nur-trennung,B,
anzeige04,maternion_lightonocr-2_1b,72,Zubehör- teile.,Zubehörteile.,Substitution,"Sägegatter, Kreissägen und [[Zubehör- teile.]] Feldbahnen und Geleise",-->∅  ->∅,6,,B,nur-trennung,B,
anzeige04,minicpm-v4.5_8b,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,anzeige04/minicpm-v4.5_8b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,minicpm-v4.5_8b,10,,ECEKA,Einfuegung,Potsdamerstraße Nr. 141 [[∅]] Kowno Šiaulių g-vė.,eingefuegt: ECEKA,4,anzeige04/minicpm-v4.5_8b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,minicpm-v4.5_8b,12,g-vė.,g-vé.,Substitution,141 Kowno Šiaulių [[g-vė.]] 14 Beste und,ė->é,2,,D,nur-diakritika,D,
anzeige04,minicpm-v4.5_8b,14,Beste,Befste,Substitution,Šiaulių g-vė. 14 [[Beste]] und billigste Bezugsquelle,∅->f,1,,,,A,
anzeige04,minicpm-v4.5_8b,29,sämtliche,familiäre,Substitution,"nur Friedensausführung, sowie [[sämtliche]] Installations-Materialien für Stark-",s->f ä->a t->i c->ä h->r,1,,,,E,
anzeige04,minicpm-v4.5_8b,32,Stark-,Start-,Substitution,sämtliche Installations-Materialien für [[Stark-]] und Schwachstrom. Ferner,k->t,4,,A,nur-fraktur,A,
anzeige04,minicpm-v4.5_8b,43,Spritzen,Sprügen,Substitution,Seidengaze für Mühlen. [[Spritzen]] und Schläuche für,i->ü t->g z->∅,2,,,,A,
anzeige04,minicpm-v4.5_8b,53,Ausrüstungen.,Umrüstungen.,Substitution,"dazu ge- hörigen [[Ausrüstungen.]] Automobile, Motorräder, Fahrräder,",A->U u->m s->∅,1,,,,A,strittig: E denkbar; A->U ist jedoch eine klassische Frakturverwechslung
anzeige04,minicpm-v4.5_8b,57,Mäntel,Mantel,Substitution,"Automobile, Motorräder, Fahrräder, [[Mäntel]] und Schläuche, Gummiabsätze",ä->a,2,,D,nur-diakritika,A,"deutscher Umlaut, kein litauisches Diakritikum -> A statt Vorschlag D"
anzeige04,minicpm-v4.5_8b,60,Gummiabsätze,Gummiabfänge,Substitution,"Mäntel und Schläuche, [[Gummiabsätze]] billigst. Sämtliche landwirtschaftliche",s->f t->n z->g,1,,,,A,
anzeige04,minicpm-v4.5_8b,65,"Lokomobilen,","Lotomobilen,",Substitution,"Sämtliche landwirtschaftliche Maschinen, [[Lokomobilen,]] neu und gebraucht.",k->t,2,,A,nur-fraktur,A,
anzeige04,minicpm-v4.5_8b,70,Kreissägen,Kreisägen,Substitution,"und gebraucht. Sägegatter, [[Kreissägen]] und Zubehör- teile.",s->∅,1,,,,A,
anzeige04,openai_gpt-5-6-sol,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,anzeige04/openai_gpt-5-6-sol#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,openai_gpt-5-6-sol,14,,ECEKA,Einfuegung,Šiaulių g-vė. 14 [[∅]] Beste und billigste,eingefuegt: ECEKA,4,anzeige04/openai_gpt-5-6-sol#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,openai_gpt-5-6-sol,51,ge- hörigen,gehörigen,Substitution,"sowie alle dazu [[ge- hörigen]] Ausrüstungen. Automobile, Motorräder,",-->∅  ->∅,7,,B,nur-trennung,B,
anzeige04,openai_gpt-5-6-sol,72,Zubehör- teile.,Zubehörteile.,Substitution,"Sägegatter, Kreissägen und [[Zubehör- teile.]] Feldbahnen und Geleise",-->∅  ->∅,6,,B,nur-trennung,B,
anzeige04,qwen3-vl_4b-instruct,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,,E,block-ausgelassen,E,
anzeige04,qwen3-vl_4b-instruct,14,Beste,Befte,Substitution,Šiaulių g-vė. 14 [[Beste]] und billigste Bezugsquelle,s->f,1,,A,nur-fraktur,A,
anzeige04,qwen3-vl_4b-instruct,16,billigste,billigte,Substitution,14 Beste und [[billigste]] Bezugsquelle für Motore,s->∅,1,,,,A,
anzeige04,qwen3-vl_4b-instruct,32,Stark-,Start-,Substitution,sämtliche Installations-Materialien für [[Stark-]] und Schwachstrom. Ferner,k->t,4,,A,nur-fraktur,A,
anzeige04,qwen3-vl_4b-instruct,43,Spritzen,Spricken,Substitution,Seidengaze für Mühlen. [[Spritzen]] und Schläuche für,t->c z->k,1,,,,A,
anzeige04,qwen3-vl_4b-instruct,60,Gummiabsätze,Gummiaßfäge,Substitution,"Mäntel und Schläuche, [[Gummiabsätze]] billigst. Sämtliche landwirtschaftliche",b->ß s->f t->g z->∅,1,,,,A,
anzeige04,qwen3-vl_4b-instruct,61,billigst.,billig.,Substitution,"und Schläuche, Gummiabsätze [[billigst.]] Sämtliche landwirtschaftliche Maschinen,",s->∅ t->∅,1,,,,E,"strittig: A denkbar; hier E, weil zwei Buchstaben entfallen und ein anderes Wort entsteht"
anzeige04,qwen3-vl_4b-instruct,65,"Lokomobilen,","Lottomobiles,",Substitution,"Sämtliche landwirtschaftliche Maschinen, [[Lokomobilen,]] neu und gebraucht.",∅->t k->t n->s,1,,,,A,
anzeige04,qwen3-vl_4b-instruct,70,Kreissägen,Kreisfägen,Substitution,"und gebraucht. Sägegatter, [[Kreissägen]] und Zubehör- teile.",s->f,2,,A,nur-fraktur,A,
anzeige04,qwen3-vl_8b-instruct,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,,E,block-ausgelassen,E,
anzeige04,qwen3-vl_8b-instruct,12,g-vė.,g.-vė.,Substitution,141 Kowno Šiaulių [[g-vė.]] 14 Beste und,∅->.,1,,,,B,
anzeige04,qwen3-vl_8b-instruct,43,Spritzen,Spriken,Substitution,Seidengaze für Mühlen. [[Spritzen]] und Schläuche für,t->k z->∅,3,,,,A,
anzeige04,qwen3-vl_8b-instruct,60,Gummiabsätze,Gummibäsche,Substitution,"Mäntel und Schläuche, [[Gummiabsätze]] billigst. Sämtliche landwirtschaftliche",a->b b->ä ä->c t->h z->∅,1,,,,A,
anzeige04,qwen3-vl_8b-instruct,65,"Lokomobilen,","Locomobile,",Substitution,"Sämtliche landwirtschaftliche Maschinen, [[Lokomobilen,]] neu und gebraucht.",k->c n->∅,1,,,,C,"k->c ist keine Frakturverwechslung, sondern eine Schreibvariante"
anzeige04,qwen3.5_4b,0,ECEKA,,Loeschung,[[ECEKA]] M. Otto Hesse,geloescht: ECEKA,9,anzeige04/qwen3.5_4b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,qwen3.5_4b,14,,ECEKA,Einfuegung,Šiaulių g-vė. 14 [[∅]] Beste und billigste,eingefuegt: ECEKA,4,anzeige04/qwen3.5_4b#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige04,qwen3.5_4b,57,Mäntel,Mantel,Substitution,"Automobile, Motorräder, Fahrräder, [[Mäntel]] und Schläuche, Gummiabsätze",ä->a,2,,D,nur-diakritika,A,"deutscher Umlaut, kein litauisches Diakritikum -> A statt Vorschlag D"
anzeige04,qwen3.5_4b,60,Gummiabsätze,Gummiabfälle,Substitution,"Mäntel und Schläuche, [[Gummiabsätze]] billigst. Sämtliche landwirtschaftliche",s->f t->l z->l,1,,,,A,
anzeige04,qwen3.5_4b,65,"Lokomobilen,","Locomobilen,",Substitution,"Sämtliche landwirtschaftliche Maschinen, [[Lokomobilen,]] neu und gebraucht.",k->c,1,,,,C,"k->c ist keine Frakturverwechslung, sondern eine Schreibvariante"
anzeige05,anthropic_claude-sonnet-5,22,Laisvės,Laisvés,Substitution,"37 Unterbüro: Kowno, [[Laisvės]] Alėja 5",ė->é,1,,D,nur-diakritika,,
anzeige05,deepseek-ocr_3b,0,DEUTZ,,Loeschung,[[DEUTZ]] Motor-Lokomobilen in verschiedenen,geloescht: DEUTZ,1,,E,block-ausgelassen,E,
anzeige05,deepseek-ocr_3b,6,Grössen,Großen,Substitution,verschiedenen Ausführungen und [[Grössen]] für alle billigen,ö->o s->ß s->∅,1,,,,C,
anzeige05,deepseek-ocr_3b,10,flüssigen,Flüssigen,Substitution,für alle billigen [[flüssigen]] Brennstoffe. 3252 GASMOTOREN-FABRIK,f->F,1,,,,B,Grossschreibung am Wortanfang
